"filename", "language", "JSON with Comments", "JSON", "TypeScript", "XML", "Markdown", "Prisma", "TypeScript JSX", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 5, 41
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\spinner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 4, 17
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 12, 117
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 8, 67
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\toggle-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 8, 74
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 6, 48
"c:\Users\Nocky\Desktop\dentalize\src\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 8, 62
"c:\Users\Nocky\Desktop\dentalize\src\components\voice\FeatureCards.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 0, 2, 3, 76
"c:\Users\Nocky\Desktop\dentalize\src\components\voice\ProPlanRequired.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 0, 3, 8, 82
"c:\Users\Nocky\Desktop\dentalize\src\components\voice\VapiWidget.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 235, 0, 0, 15, 32, 282
"c:\Users\Nocky\Desktop\dentalize\src\components\voice\WelcomeSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 2, 28
"c:\Users\Nocky\Desktop\dentalize\src\hooks\use-appointment.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 1, 10, 61
